document_id,text,true_label,text_length,text_cleaned,cleaned_length,cluster,topic,intent,sentiment
2325,"From: gerald.belton@ozonehole.com (Gerald Belton) 
Subject: help - how to constru
Distribution: world
Organization: Ozone Online Operations, Inc. - New Orleans, LA
Reply-To: gerald.belton@ozonehole.com (Gerald Belton) 
Lines: 27

>Dean Anneser (anneser@pwa-b.uucp) wrote:
>: My 9 yr old son has signed up to do a science report on batteries.  I was
>: wondering if anyone could provide me with some information as to how to
>: construct a home-built battery.  In my grade school days, I remember seei
>: the 'ice cube tray' version, but I don't remember what to use as a good
>: electrolyte or what the easily obtainable metals were.
>:
>: Thank you in advance.

>I remember watching a whole ""Mr. Wizzard"" program on this subject when
>I was a kid.  The battery constructed on the program which made the
>biggest impression on me, and generated the most power, was made using
>a galvanized bucket (for the zinc) and a copper toilet tank float.  The
>electrolyte was sauerkraut!

Take a lemon.  Stick a copper strip into the lemon.  Stick a galvanized
nail in about 1 to 1-1/2 inches from the copper strip.  You should get
about 1/2 volt from it - enough to light an LED.


 * SLMR 2.1 * Support your medical examiner, die strangely.
                     
----
The Ozone Hole BBS * A Private Bulletin Board Service * (504)891-3142
3 Full Service Nodes * USRobotics 16.8K bps * 10 Gigs * 100,000 Files
SKYDIVE New Orleans! * RIME Network Mail HUB * 500+ Usenet Newsgroups
Please route all questions or inquiries to:  postmaster@ozonehole.com
",sci.electronics,1540,"take a lemon. stick a copper strip into the lemon. stick a galvanized nail in about 1 to 1-1/2 inches from the copper strip. you should get about 1/2 volt from it - enough to light an led. * slmr 2.1 * support your medical examiner, die strangely. ---- the ozone hole bbs * a private bulletin board service * (504)891-3142 3 full service nodes * usrobotics 16.8k bps * 10 gigs * 100,000 files skydive new orleans! * rime network mail hub * 500+ usenet newsgroups please route all questions or inquiries to:",506,0,Personal / Culture / Other,Other,Neutral
3053,"From: steveh@thor.isc-br.com (Steve Hendricks)
Subject: Re: We're from the government and we're here to help you
Summary: Historical examples and the US Constitution
Organization: Free the Barbers, Inc.
Lines: 76
Nntp-Posting-Host: thor.isc-br.com

In article <1993Apr8.200326.27560@infonode.ingr.com> albeaj@jima.b17d.ingr.com (Jim Albea) writes:
>
>
>In article <1993Mar24.235606.15959@isc-br.isc-br.com>, steveh@thor.isc-br.com (Steve Hendricks) writes:
>
>Ouch, now that really hurts.  I'm being accused of no breadth nor depth
>to my historical knowledge because I'm unwilling to agree that economic
>inequality leads to poverty and from there to ""social and political
>instability"".  You go read your history again.  POVERTY is the main
>engine of social instability (in this context, we'll put aside religious
>turmoil, mass migrations, etc.).  

Well, the fact of the matter is that poverty is imperfectly related to 
social and political instability, while economic inequality is much more
strongly related.  In virtually all major revolutions including
England (the Puritan revolution), France, Russia and China, the 
revolutions occurred as economies were undergoing substantial long term 
growth and poverty was declining.  What sets off revolutions is massive
inequality coupled with a perception on the part of those at the bottom
that social change is possible.

If ""poverty (were) the main engine of social instability,"" this typical
historical pattern would not hold.  In fact, revolutions would have been
far more typical before the nineteenth century than since that time.

[Much deleted...]

>|> Gee, Jim, if you'll check the Constitution you'll find ""in order to...
>|> promote the general welfare...do ordain and establish this Constitution...""
>|> I'm surprised you missed it.  It's right there in the first paragraph.  I
>|> would have thought you would have made it at least through the preamble.
>
>You almost got it right, and it was a good try, but you should follow your
>own advice.  The PREAMBLE to the CONSTITUTION does read as you have quoted
>but let us not forget that after all it is only the preamble.  It is not
>a binding part of the Constitution and carries no weight in the law.  That 
>poor tortured paragraph has got to be one of the most unfortunate passages 
>in the English language - witness the legions of blowhards like yourself who
>think those vague flowery phrases are part of the law of the land.  Do you
>really believe that a politician only has to give lip service to ""promoting
>the general welfare"" to be within the limits of the constitution?

Sorry, buddy, but some other ""blowhards"" managed to include the ""general
welfare"" in another portion of the constitution.

Article I Section 8: ""The Congress shall have the power to lay and collect
taxes...to pay the debts and provide for the common defence and GENERAL
WELFARE of the United States...""

I guess they wanted to make sure everyone understood they meant what they
said in the preamble.

>Just to make sure you've got the point, let's do a little experiment.  What
>if the constitution read as follows?
>
>Preamble: We the people, to promote the general Welfare, do ordain
>          and establish this Constitution for the United States of
>          America.
>
>Constitution:  The Federal Government shall have one function and one
>               function only - to provide for the defense of the nation.
>

But as noted above, the constitution doesn't say that, does it?

>The government would not then have two functions: defense and Welfare.  

But since it explicitly includes both the general welfare and defense
in Article I, Section 8, I guess you'll grant that botha are constitutional
functions.  Right?

jsh
--
Steve Hendricks                        |  DOMAIN:  steveh@thor.ISC-BR.COM   
""One thing about data, it sure does cut|  UUCP:    ...!uunet!isc-br!thor!steveh
 the bulls**t."" - R. Hofferbert        |  Ma Bell: 509 838-8826
",talk.politics.misc,3961,"in article (jim albea) writes: well, the fact of the matter is that poverty is imperfectly related to social and political instability, while economic inequality is much more strongly related. in virtually all major revolutions including england (the puritan revolution), france, russia and china, the revolutions occurred as economies were undergoing substantial long term growth and poverty was declining. what sets off revolutions is massive inequality coupled with a perception on the part of those at the bottom that social change is possible. if ""poverty (were) the main engine of social instability,"" this typical historical pattern would not hold. in fact, revolutions would have been far more typical before the nineteenth century than since that time. [much deleted...] sorry, buddy, but some other ""blowhards"" managed to include the ""general welfare"" in another portion of the constitution. article i section 8: ""the congress shall have the power to lay and collect taxes...to pay the debts and provide for the common defence and general welfare of the united states..."" i guess they wanted to make sure everyone understood they meant what they said in the preamble. but as noted above, the constitution doesn't say that, does it? but since it explicitly includes both the general welfare and defense in article i, section 8, i guess you'll grant that botha are constitutional functions. right? jsh -- steve hendricks | domain: ""one thing about data, it sure does cut| uucp: ...!uunet!isc-br!thor!steveh the bulls**t."" - r. hofferbert | ma bell: 509 838-8826",1569,1,Personal / Culture / Other,Other,Neutral
9913,"From: drozinst@db.erau.edu (Drozinski Tim)
Subject: Re: Ulf and all...
Organization: Embry-Riddle Aeronautical University, Daytona Beach, FL USA
Lines: 48
NNTP-Posting-Host: lambda.db.erau.edu

joe13+@pitt.edu (Joseph B Stiehm) writes:



>>the way he does, does not belong in the NHL. There have been cheap shot artists
>>through the history of the game, but a lot of them have been talanted players.
>>Bobby Clarke, Kenny Linsemen, Pie McKenzie, Chris Chelios etc.. but nobody has been
>>out right as dirty a cheapshot coward as Ulf. Violence in hockey has got to be curbed
>>and players like (Should have been a Women) Samuelson don't belong. When players
>>like Ulf, who's main purpose is to injure the better players in the league is allowed
>>to continue, and the league won't stop it, the players should. A Christian Pro 1000
>>aluminum stick directed at his ugly head should do the trick nicely. If the Bruins get
>>a chance to meet Pittsburgh in the near future, you can bet Neely will have his day.
>>The sight of watching Ulf turtle up like the coward he is, is worth almost as much as a
>>Stanely Cup. This wimp of a player almost ruined the career of one the best right wingers
>>in the game. If you are to remove Ulf Samuelson from the lineup, the Penguins would not
>>even notice he's gone. He's an eyesore on the game of hockey.
>>
>>
>>Rich



>Rich, pull your head out of your ass.

>Joseph Stiehm


As if an aluminum stick being taken to Ulf's head is gonna solve the problem
with violence in the sport of hockey.  How the hell can you say the guy is
a goon and justify it, with your back-assward mentality?  Saying that hurting
a player will solve anyone's problems is asinine.  New rules and a new 
referee system need to be instituted.  Right now, too many of the real goons
get away with too much, because the ref is watching the play (or supposed to be:I've seen Koharski and Van Hellemond, to name a few, with their heads up their  asses on a few calls) rather than keeping an eye on the goofballs behind the 
play.  Even if the linesmen were able to call all penalties, it would be an
improvement.

********************************************************************************Tim Drozinski
drozinst@db.erau.edu
""Chew electric death, snarling cur!""    Spaceman Spiff








",rec.sport.hockey,2303,"(joseph b stiehm) writes: as if an aluminum stick being taken to ulf's head is gonna solve the problem with violence in the sport of hockey. how the hell can you say the guy is a goon and justify it, with your back-assward mentality? saying that hurting a player will solve anyone's problems is asinine. new rules and a new referee system need to be instituted. right now, too many of the real goons get away with too much, because the ref is watching the play (or supposed to be:i've seen koharski and van hellemond, to name a few, with their heads up their asses on a few calls) rather than keeping an eye on the goofballs behind the play. even if the linesmen were able to call all penalties, it would be an improvement. ********************************************************************************tim drozinski ""chew electric death, snarling cur!"" spaceman spiff",869,2,Personal / Culture / Other,Other,Neutral
6094,"From: sfp@lemur.cit.cornell.edu (Sheila Patterson)
Subject: Re: SOC.RELIGION.CHRISTIAN
Organization: Cornell University CIT
Lines: 47

In article <May.12.04.26.55.1993.9901@athos.rutgers.edu>, dozier@utkux1.utk.edu (Anni Dozier) writes:
|> After reading the posts on this newsgroup for the pasts 4 months, it 
|> has become apparent to me that this group is primarily active with 
|> Liberals, Catholics, New Agers', and Athiests.  Someone might think 
|> to change the name to:  soc.religion.any   - or -  perhaps even
|> soc.religion.new.  It might seem to be more appropriate.
|> Heck, don't flame me, I'm Catholic, gay, and I voted 
|> for Bill Clinton.  I'm on your side!                      

My sentiments exactly... which is why I'm unsubbing from this group.
This is the 3rd 'christian' discussion list I have ever belonged to
and once again I'm being chased away by the strife, anger, discontent,
lies, et al .

As Paul (Saul) said, 'I come to preach Christ, and Him crucified'
Don't let the simple beauty of faith in God get overshadowed by heady
theological discussions or thousands of lines of post-incarnation
trappings of some church.


As for the atheists/agnostics who read this list: if you aren't
christian and if you have no intention of ever becoming one why on
earth do you waste your time and mine by participating on a christian
discussion list ?

I will continue to search for christian discussion (prayerful, spirit-filled,
kind, humble, patient, etc.) in other circles.  

-- 
  Sheila Patterson, CIT CR-Technical Support Group
  315 CCC - Cornell University
  Ithaca, NY  14853
  (607) 255-5388


[I'm afraid that any discussion group containing people with different
views tends to turn into arguments about the largest differences
present.  So talk.religion.misc spends a lot of time on
Christian/atheist arguments, soc.religion.christian spends a lot of
time on arguments among different christian groups, and the bitnet
Catholic group spends a lot of time on arguments between conservative
and liberal Catholics.  Personally I would prefer to have a set of
somewhat more specialized groups, at least as an alternative.  Liberal
and conservative Protestant and Catholic would handle most of the
traffic, though there are certainly significant groups (e.g.
Orthodox).  Of course it may be that most of our readers like the
arguments.  I certainly find it painful moderating them.  --clh]
",soc.religion.christian,2419,"in article (anni dozier) writes: |> after reading the posts on this newsgroup for the pasts 4 months, it |> has become apparent to me that this group is primarily active with |> liberals, catholics, new agers', and athiests. someone might think |> to change the name to: soc.religion.any - or - perhaps even |> soc.religion.new. it might seem to be more appropriate. |> heck, don't flame me, i'm catholic, gay, and i voted |> for bill clinton. i'm on your side! my sentiments exactly... which is why i'm unsubbing from this group. this is the 3rd 'christian' discussion list i have ever belonged to and once again i'm being chased away by the strife, anger, discontent, lies, et al . as paul (saul) said, 'i come to preach christ, and him crucified' don't let the simple beauty of faith in god get overshadowed by heady theological discussions or thousands of lines of post-incarnation trappings of some church. as for the atheists/agnostics who read this list: if you aren't christian and if you have no intention of ever becoming one why on earth do you waste your time and mine by participating on a christian discussion list ? i will continue to search for christian discussion (prayerful, spirit-filled, kind, humble, patient, etc.) in other circles. -- sheila patterson, cit cr-technical support group 315 ccc - cornell university ithaca, ny 14853 (607) 255-5388 [i'm afraid that any discussion group containing people with different views tends to turn into arguments about the largest differences present. so talk.religion.misc spends a lot of time on christian/atheist arguments, soc.religion.christian spends a lot of time on arguments among different christian groups, and the bitnet catholic group spends a lot of time on arguments between conservative and liberal catholics. personally i would prefer to have a set of somewhat more specialized groups, at least as an alternative. liberal and conservative protestant and catholic would handle most of the traffic, though there are certainly significant groups (e.g. orthodox). of course it may be that most of our readers like the arguments. i certainly find it painful moderating them. --clh]",2155,3,Personal / Culture / Other,Other,Neutral
4999,"From: jks4675@ritvax.isc.rit.edu
Subject: Seagate 125MB IDE Jumper question
Nntp-Posting-Host: vaxc.isc.rit.edu
Reply-To: jks4675@ritvax.isc.rit.edu
Organization: Rochester Institute of Technology

Since the losers that sold me the hard disk for my computer are
so generous, I need the info to set this drive from master to
slave. Any help would be greatly appreciated.  Please reply via e-mail.

Incidentally, avoid purchasing a computer from ACS in Endicott, NY.


Jeff
****************************************************************
*  Four out of five electrons prefer holes for their mutual    *
*  annhiliation needs. Boycott Sierra. Ignore anybody who      *
*  purports to be a serious Windows user. Support new makers   *
*  of hardware and software. Buy Canadian music. Quit smoking. *
*  Take up running. FM synthesis is the CGA of audio.          *
*                            JKS4675@RITVAX.ISC.RIT.EDU        *
****************************************************************
",comp.sys.ibm.pc.hardware,992,"since the losers that sold me the hard disk for my computer are so generous, i need the info to set this drive from master to slave. any help would be greatly appreciated. please reply via e-mail. incidentally, avoid purchasing a computer from acs in endicott, ny. jeff **************************************************************** * four out of five electrons prefer holes for their mutual * * annhiliation needs. boycott sierra. ignore anybody who * * purports to be a serious windows user. support new makers * * of hardware and software. buy canadian music. quit smoking. * * take up running. fm synthesis is the cga of audio. * * * ****************************************************************",704,4,Personal / Culture / Other,Other,Neutral
5795,"From: sunnyt@coding.bchs.uh.edu
Subject: Re: upgrading a Mac Plus or SE to use a superdrive
Organization: University of Houston
Lines: 25
Reply-To: ln63sdm@sdcc4.ucsd.edu
NNTP-Posting-Host: franklin.bchs.uh.edu

In article <Apr.22.15.59.38.1993.19720@andromeda.rutgers.edu>  
murray@andromeda.rutgers.edu (Murray Karstadt) writes:
> hello out in networld,
> 
>        We have a lab of old macs(SEs and Pluses). We don't have enough money 
> to buy all new machines, so we are considering buying a few superdrives for 
> our old macs to allow folks with high density disks to use our equipment. 
> I was wondering what experiences (good or bad) people have had with this sort
> of upgrade.
> 
> 
> murray
> 
> 
> murray@andromeda.rutgers.edu

Murry,

	Why don't you just shell out a couple more dollars and get a floptical.   
They can read high density disks (1.4 MB) as well as flopticals (21 MB).  The  
price of flopticals right now range from $300's - $400's.

Sunny


",comp.sys.mac.hardware,973,"in article (murray karstadt) writes: murry, why don't you just shell out a couple more dollars and get a floptical. they can read high density disks (1.4 mb) as well as flopticals (21 mb). the price of flopticals right now range from $300's - $400's. sunny",256,5,Personal / Culture / Other,Other,Neutral
4897,"Subject: Re: Traffic morons
From: Stafford@Vax2.Winona.MSUS.Edu (John Stafford)
Distribution: world
Organization: Winona State University
Nntp-Posting-Host: stafford.winona.msus.edu
Lines: 28

In article <10326.97.uupcb@compdyn.questor.org>,
ryan_cousineau@compdyn.questor.org (Ryan Cousineau) wrote:
> 
> NMM>From: nielsmm@imv.aau.dk (Niels Mikkel Michelsen)
> NMM>Subject: How to act in front of traffic jerks
> 
> NMM>The other day, it was raining cats and dogs, therefor I was going only to
> NMM>the speed limit, on nothing more, on my bike. This guy in his BMW was
> NMM>driving 1-2 meters behind me for 7-800 meters and at the next red light I
> NMM>calmly put the bike on its leg, walked back to this car, he rolled down the
> NMM>window, and I told him he was a total idiot (and the reason why).
> 
> NMM>Did I do the right thing?

	imho, you did the wrong thing.  You could have been shot
 or he could have run over your bike or just beat the shit
 out of you.  Consider that the person is foolish enough
 to drive like a fool and may very well _act_ like one, too.

 Just get the heck away from the idiot.

 IF the driver does something clearly illegal, you _can_
 file a citizens arrest and drag that person into court.
 It's a hassle for you but a major hassle for the perp.

====================================================
John Stafford   Minnesota State University @ Winona
                    All standard disclaimers apply.
",rec.motorcycles,1446,"in article (ryan cousineau) wrote: imho, you did the wrong thing. you could have been shot or he could have run over your bike or just beat the shit out of you. consider that the person is foolish enough to drive like a fool and may very well _act_ like one, too. just get the heck away from the idiot. if the driver does something clearly illegal, you _can_ file a citizens arrest and drag that person into court. it's a hassle for you but a major hassle for the perp. ==================================================== john stafford minnesota state university @ winona all standard disclaimers apply.",604,6,Personal / Culture / Other,Other,Neutral
3963,"From: mps1@cec1.wustl.edu (Mihir Pramod Shah)
Subject: Re: saturn -- puzzled by its pricing
Article-I.D.: wuecl.1993Apr6.074352.15514
Distribution: na
Organization: Washington University, St. Louis MO
Lines: 43
Nntp-Posting-Host: cec1

In article <1993Apr1.230642.5207@cbfsb.cb.att.com> ykhsu@cbnewsf.cb.att.com (yung-kao.hsu) writes:
>
>	I am the person who started out this subject.
>
>	To me, the question really is not about dealer profit but the
>	amount of money for the type of car. I've settled with a
>	new 92 Subaru Wagon with the similar amount of money a Saturn
>	dealer asked for a SW1. OK, I know it's a 92 model, but I think
>	I got a better car (though I have to adjust my initial idea of 
>	why I am getting a new car).
>
>	Today, during a conversion with a friend, I learned he rejected
>	a Saturn for a Ford Tarurs; as it only costed him a little bit more
>	than a SL2. I may be wrong, but a loaded Tarus beats a Saturn SL2.

	I agree that a fully-loaded SL2 would come close in price to a
LOWER-END Ford Taurus.  A FULLY-LOADED Taurus, on the other hand, would still
be substantially more expensive than even the most glitzy SL2.  A fully loaded
SL2 would run somewhere around $17,000, while a fully loaded Taurus LX would be
somewhere around the $22,000-$23,000 range.  A base Taurus (GL I believe) might
start around $15,000.  Of course there is the Taurus SHO which can push $30,000
if you really try, but this is a totally different car than your mainstream
Taurus sedan.  Your statement was not entirely faulty, just a little
inaccurate.

>
>	I can't see Saturn is of better value and that is why I was puzzled
>	by its pricings. Oh, we did not spend much time getting our deals;
>	being better informed has its advantages.

Well, that's ok.  At least you're not bitching about dealer profits like some
of the other netters are.  You seem to have rationally picked out the car that
is best for you.  The Loyale is an aging design that is about to be replaced by
the Impreza wagon, so you probably got a good deal on one of the last ones.

>	
>	Then again, I may be wrong.
>
>Yung-Kao Hsu
>

Mihir Shah
mps1@cec1.wustl.edu
",rec.autos,2147,"article-i.d.: wuecl.1993apr6.074352.15514 distribution: na organization: washington university, st. louis mo lines: 43 nntp-posting-host: cec1 in article (yung-kao.hsu) writes: i agree that a fully-loaded sl2 would come close in price to a lower-end ford taurus. a fully-loaded taurus, on the other hand, would still be substantially more expensive than even the most glitzy sl2. a fully loaded sl2 would run somewhere around $17,000, while a fully loaded taurus lx would be somewhere around the $22,000-$23,000 range. a base taurus (gl i believe) might start around $15,000. of course there is the taurus sho which can push $30,000 if you really try, but this is a totally different car than your mainstream taurus sedan. your statement was not entirely faulty, just a little inaccurate. well, that's ok. at least you're not bitching about dealer profits like some of the other netters are. you seem to have rationally picked out the car that is best for you. the loyale is an aging design that is about to be replaced by the impreza wagon, so you probably got a good deal on one of the last ones. mihir shah",1109,7,Personal / Culture / Other,Other,Neutral
110,"From: censwm@cend3c7.caledonia.hw.ac.uk (Stuart W Munn)
Subject: Macintosh Lisa Dot Matrix Parallel Printer
Organization: Dept of Computing and Electrical Engineering, Heriot-Watt University, Scotland
Lines: 15

I have got a dot matrix printer that came with a Lisa (I think) I wish to attach it to a PC, but have no manual. I have been told that it is some sort of C.Itoh printer in disguise. Can anyone help with manuals or info about codes to send to select fonts, italics etc. I want to write a printer driver for Protext.

Thanks in advance

Stuart

=========================================================================
Stuart Munn		DOD# 0717
Heriot-Watt University                  ""The sky is BLACK . . .
Edinburgh                                therefore GOD, he is a St Mirren
Scotland, EH14 4AS                       supporter!!!""
031 451-3265
031 451-3261 FAX                         God may have a Harley . . .
E-Mail censwm@UK.AC.HW.CLUST (JANET)     But the Pope rides a Guzzi! 
=========================================================================
",comp.sys.mac.hardware,1071,"i have got a dot matrix printer that came with a lisa (i think) i wish to attach it to a pc, but have no manual. i have been told that it is some sort of c.itoh printer in disguise. can anyone help with manuals or info about codes to send to select fonts, italics etc. i want to write a printer driver for protext. thanks in advance stuart ========================================================================= stuart munn dod# 0717 heriot-watt university ""the sky is black . . . edinburgh therefore god, he is a st mirren scotland, eh14 4as supporter!!!"" 031 451-3265 031 451-3261 fax god may have a harley . . . e-mail (janet) but the pope rides a guzzi! =========================================================================",733,8,Personal / Culture / Other,Other,Neutral
18704,"From: farenebt@logic.camp.clarkson.edu (Droopy)
Subject: Re: Playoff predictions
Organization: Clarkson University
Lines: 39
Nntp-Posting-Host: logic.clarkson.edu
X-Newsreader: TIN [version 1.1 PL8]

PATRICK
1st rd:	Pens over Isles in 4.
	Devils over Caps in 6.
2nd:	Pens over Devils in 7.

ADAMS
1st rd: B's over Sabres in 5.
	Nords over Habs in 5.
2nd:	B's over Nords in 6.

NORRIS
1st:	Hawks over Stars/Blues in 5.
	Wings over Leafs in 7.
2nd:	Hawks over Wings in 5.

SMYTHE
1st:	Jets over Canucks in 7.	(call it a hunch)
	Flames over Kings in 5.
2nd:	Jets over Flames in 6.

WALES
Pens over B's in 7.	

CAMPBELL
Hawks over Jets in 5.

STANLEY
Pens over Hawks in 5.

    ++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
    + Bri Farenell			farenebt@craft.camp.clarkson.edu   +
    + AHL and ECAC contact for rec.sport.hockey		Go USA Hockey!	   +	
    + Adirondack Red Wings, Calder Cup Champs: '81  '86  '89  '92	   +
    + Clarkson Hockey, ECAC Tournament Champs: '66  '91  '93		   +
    + Glens Falls High Hockey, NY Division II State Champs: '90  '91       +
    + AHL fans: join the AHL mailing list: ahl-news-request@andrew.cmu.edu +
    + CONGRATS TO THE BOSTON BRUINS, 1992-93 ADAMS DIVISION CHAMPIONS      +
    + PHOENIX SUNS, 1992-93 PACIFIC DIVISION CHAMPIONS			   +
    ++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
",rec.sport.hockey,1383,"patrick 1st rd: pens over isles in 4. devils over caps in 6. 2nd: pens over devils in 7. adams 1st rd: b's over sabres in 5. nords over habs in 5. 2nd: b's over nords in 6. norris 1st: hawks over stars/blues in 5. wings over leafs in 7. 2nd: hawks over wings in 5. smythe 1st: jets over canucks in 7. (call it a hunch) flames over kings in 5. 2nd: jets over flames in 6. wales pens over b's in 7. campbell hawks over jets in 5. stanley pens over hawks in 5. ++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++ + bri farenell + + ahl and ecac contact for rec.sport.hockey go usa hockey! + + adirondack red wings, calder cup champs: '81 '86 '89 '92 + + clarkson hockey, ecac tournament champs: '66 '91 '93 + + glens falls high hockey, ny division ii state champs: '90 '91 + + ahl fans: join the ahl mailing list: + + congrats to the boston bruins, 1992-93 adams division champions + + phoenix suns, 1992-93 pacific division champions + ++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++",1027,9,Personal / Culture / Other,Other,Neutral
