document_id,text,true_label,text_length,text_cleaned,cleaned_length,cluster,topic,intent,sentiment,predicted_topic,predicted_intent,predicted_sentiment
12800,"From: 02106@ravel.udel.edu (Samuel Ross)
Subject: Tech Books for sale!!! Cheap!!!
Nntp-Posting-Host: ravel.udel.edu
Organization: University of Delaware
Distribution: usa
Lines: 26


SOMEONE PLEASE BUY THESE BOOKS!!!!!  I AM NOT ASKING MUCH!!!!!!

LIQUIDATION!!!!!! Send me your offer!  No reasonable offer refused!
First come first served! I JUST WANT TO GET RID OF THESE BOOKS!!!
JUST MAKE ME AN OFFER!!!!!  

* Calculus w/ Analytic Geometry by Authur B. Simon (copyright date 1982), below avg condition but still readable!  Give me $8 (shipping incl) and its yours!

* Writing good software in Fortran, Graham Smith.  $12 (shipp incl) 

* General Chemistry Principles & Modern Applications, R. Petrucci, fourth
  edition.  Big Book! (this book + following 2 books $20 for all 3!!)

* Solutions manual for Chemistry book. 

* Study guide for Chemistry book. 


Send me your offers via email at 02106@chopin.udel.edu



Sam
02106@chopin.udel.edu

",misc.forsale,948,"someone please buy these books!!!!! i am not asking much!!!!!! liquidation!!!!!! send me your offer! no reasonable offer refused! first come first served! i just want to get rid of these books!!! just make me an offer!!!!! * calculus w/ analytic geometry by authur b. simon (copyright date 1982), below avg condition but still readable! give me $8 (shipping incl) and its yours! * writing good software in fortran, graham smith. $12 (shipp incl) * general chemistry principles & modern applications, r. petrucci, fourth edition. big book! (this book + following 2 books $20 for all 3!!) * solutions manual for chemistry book. * study guide for chemistry book. send me your offers via email at sam",696,0,Book Sale,Sell used textbooks,Desperate,Book Sale,Sell used textbooks,Desperate
10497,"From: cdt@sw.stratus.com (C. D. Tavares)
Subject: Re: CLINTON JOINS LIST OF GENOCIDAL SOCIALIST LEADERS
Organization: Stratus Computer, Inc.
Lines: 34
Distribution: world
NNTP-Posting-Host: rocket.sw.stratus.com

In article <1993Apr23.152549.8169@starbase.trincoll.edu>, () writes:
> In article <1r5rnn$rdt@usenet.INS.CWRU.Edu>, bu008@cleveland.Freenet.Edu

> > Perhaps you've been under a rock the last few days?  The BATF and the FBI
> > are both federal agencies.  Clinton has admitted in front of news cameras
> > that Janet Reno (the once and future Attorney General) gave him a full
> > briefing of what was planned *before* they did it, and he gave her the
> > go ahead.

> > Maybe, just possibly, that makes him a *teensy* bit responsible?

> Perhaps you've been under a rock since, say, the turn of the century. How
> in the #$^& is one man supposed to review every single freaking
> governmental action, every day? That's why we have an executive branch. HE
> reviewed the plan and said ""go,"" but he wasn't the architect and he wasn't
> there, bullhorn in hand, implementing it. Yes, he was responsible in the
> sense that he was briefed. So what! Shit happens. 

Hey, joe -- assuming you're old enough to remember it -- how did you feel
about presidential responsibility every time Reagan said ""I don't recall"" 
about his arms-for-hostages meetings with the Ollie North gang?

How did you feel about it when Bush said he ""was out of the loop on that
decision"" when he was right there in the thick of it?

Oh, right.  ""He was responsible in the sense that he was briefed, but so
what -- shit happens!""  Is that what you said?

> joe.kusmierczak@mail.trincoll.edu
-- 

cdt@rocket.sw.stratus.com   --If you believe that I speak for my company,
OR cdt@vos.stratus.com        write today for my special Investors' Packet...

",talk.politics.guns,1831,"in article () writes: hey, joe -- assuming you're old enough to remember it -- how did you feel about presidential responsibility every time reagan said ""i don't recall"" about his arms-for-hostages meetings with the ollie north gang? how did you feel about it when bush said he ""was out of the loop on that decision"" when he was right there in the thick of it? oh, right. ""he was responsible in the sense that he was briefed, but so what -- shit happens!"" is that what you said? -- --if you believe that i speak for my company, or write today for my special investors' packet...",578,1,Political Accountability,Defend or criticize the actions of President Clinton regarding federal agency operations,Mixed,Political Accountability,Defend or criticize the actions of President Clinton regarding federal agency operations,Mixed
9913,"From: drozinst@db.erau.edu (Drozinski Tim)
Subject: Re: Ulf and all...
Organization: Embry-Riddle Aeronautical University, Daytona Beach, FL USA
Lines: 48
NNTP-Posting-Host: lambda.db.erau.edu

joe13+@pitt.edu (Joseph B Stiehm) writes:



>>the way he does, does not belong in the NHL. There have been cheap shot artists
>>through the history of the game, but a lot of them have been talanted players.
>>Bobby Clarke, Kenny Linsemen, Pie McKenzie, Chris Chelios etc.. but nobody has been
>>out right as dirty a cheapshot coward as Ulf. Violence in hockey has got to be curbed
>>and players like (Should have been a Women) Samuelson don't belong. When players
>>like Ulf, who's main purpose is to injure the better players in the league is allowed
>>to continue, and the league won't stop it, the players should. A Christian Pro 1000
>>aluminum stick directed at his ugly head should do the trick nicely. If the Bruins get
>>a chance to meet Pittsburgh in the near future, you can bet Neely will have his day.
>>The sight of watching Ulf turtle up like the coward he is, is worth almost as much as a
>>Stanely Cup. This wimp of a player almost ruined the career of one the best right wingers
>>in the game. If you are to remove Ulf Samuelson from the lineup, the Penguins would not
>>even notice he's gone. He's an eyesore on the game of hockey.
>>
>>
>>Rich



>Rich, pull your head out of your ass.

>Joseph Stiehm


As if an aluminum stick being taken to Ulf's head is gonna solve the problem
with violence in the sport of hockey.  How the hell can you say the guy is
a goon and justify it, with your back-assward mentality?  Saying that hurting
a player will solve anyone's problems is asinine.  New rules and a new 
referee system need to be instituted.  Right now, too many of the real goons
get away with too much, because the ref is watching the play (or supposed to be:I've seen Koharski and Van Hellemond, to name a few, with their heads up their  asses on a few calls) rather than keeping an eye on the goofballs behind the 
play.  Even if the linesmen were able to call all penalties, it would be an
improvement.

********************************************************************************Tim Drozinski
drozinst@db.erau.edu
""Chew electric death, snarling cur!""    Spaceman Spiff








",rec.sport.hockey,2303,"(joseph b stiehm) writes: as if an aluminum stick being taken to ulf's head is gonna solve the problem with violence in the sport of hockey. how the hell can you say the guy is a goon and justify it, with your back-assward mentality? saying that hurting a player will solve anyone's problems is asinine. new rules and a new referee system need to be instituted. right now, too many of the real goons get away with too much, because the ref is watching the play (or supposed to be:i've seen koharski and van hellemond, to name a few, with their heads up their asses on a few calls) rather than keeping an eye on the goofballs behind the play. even if the linesmen were able to call all penalties, it would be an improvement. ********************************************************************************tim drozinski ""chew electric death, snarling cur!"" spaceman spiff",869,2,Hockey Violence and Player Conduct,Expressing disapproval of a player's behavior and advocating for violence against them,Negative,Hockey Violence and Player Conduct,Expressing disapproval of a player's behavior and advocating for violence against them,Negative
6094,"From: sfp@lemur.cit.cornell.edu (Sheila Patterson)
Subject: Re: SOC.RELIGION.CHRISTIAN
Organization: Cornell University CIT
Lines: 47

In article <May.12.04.26.55.1993.9901@athos.rutgers.edu>, dozier@utkux1.utk.edu (Anni Dozier) writes:
|> After reading the posts on this newsgroup for the pasts 4 months, it 
|> has become apparent to me that this group is primarily active with 
|> Liberals, Catholics, New Agers', and Athiests.  Someone might think 
|> to change the name to:  soc.religion.any   - or -  perhaps even
|> soc.religion.new.  It might seem to be more appropriate.
|> Heck, don't flame me, I'm Catholic, gay, and I voted 
|> for Bill Clinton.  I'm on your side!                      

My sentiments exactly... which is why I'm unsubbing from this group.
This is the 3rd 'christian' discussion list I have ever belonged to
and once again I'm being chased away by the strife, anger, discontent,
lies, et al .

As Paul (Saul) said, 'I come to preach Christ, and Him crucified'
Don't let the simple beauty of faith in God get overshadowed by heady
theological discussions or thousands of lines of post-incarnation
trappings of some church.


As for the atheists/agnostics who read this list: if you aren't
christian and if you have no intention of ever becoming one why on
earth do you waste your time and mine by participating on a christian
discussion list ?

I will continue to search for christian discussion (prayerful, spirit-filled,
kind, humble, patient, etc.) in other circles.  

-- 
  Sheila Patterson, CIT CR-Technical Support Group
  315 CCC - Cornell University
  Ithaca, NY  14853
  (607) 255-5388


[I'm afraid that any discussion group containing people with different
views tends to turn into arguments about the largest differences
present.  So talk.religion.misc spends a lot of time on
Christian/atheist arguments, soc.religion.christian spends a lot of
time on arguments among different christian groups, and the bitnet
Catholic group spends a lot of time on arguments between conservative
and liberal Catholics.  Personally I would prefer to have a set of
somewhat more specialized groups, at least as an alternative.  Liberal
and conservative Protestant and Catholic would handle most of the
traffic, though there are certainly significant groups (e.g.
Orthodox).  Of course it may be that most of our readers like the
arguments.  I certainly find it painful moderating them.  --clh]
",soc.religion.christian,2419,"in article (anni dozier) writes: |> after reading the posts on this newsgroup for the pasts 4 months, it |> has become apparent to me that this group is primarily active with |> liberals, catholics, new agers', and athiests. someone might think |> to change the name to: soc.religion.any - or - perhaps even |> soc.religion.new. it might seem to be more appropriate. |> heck, don't flame me, i'm catholic, gay, and i voted |> for bill clinton. i'm on your side! my sentiments exactly... which is why i'm unsubbing from this group. this is the 3rd 'christian' discussion list i have ever belonged to and once again i'm being chased away by the strife, anger, discontent, lies, et al . as paul (saul) said, 'i come to preach christ, and him crucified' don't let the simple beauty of faith in god get overshadowed by heady theological discussions or thousands of lines of post-incarnation trappings of some church. as for the atheists/agnostics who read this list: if you aren't christian and if you have no intention of ever becoming one why on earth do you waste your time and mine by participating on a christian discussion list ? i will continue to search for christian discussion (prayerful, spirit-filled, kind, humble, patient, etc.) in other circles. -- sheila patterson, cit cr-technical support group 315 ccc - cornell university ithaca, ny 14853 (607) 255-5388 [i'm afraid that any discussion group containing people with different views tends to turn into arguments about the largest differences present. so talk.religion.misc spends a lot of time on christian/atheist arguments, soc.religion.christian spends a lot of time on arguments among different christian groups, and the bitnet catholic group spends a lot of time on arguments between conservative and liberal catholics. personally i would prefer to have a set of somewhat more specialized groups, at least as an alternative. liberal and conservative protestant and catholic would handle most of the traffic, though there are certainly significant groups (e.g. orthodox). of course it may be that most of our readers like the arguments. i certainly find it painful moderating them. --clh]",2155,3,Discussion on the nature of a religious newsgroup,Express dissatisfaction with the group's dynamics and consider unsubscribing,Frustrated,Discussion on the nature of a religious newsgroup,Express dissatisfaction with the group's dynamics and consider unsubscribing,Frustrated
10250,"From: glang@slee01.srl.ford.com (Gordon Lang)
Subject: Re: 2 IDE-HDs
Organization: Ford Motor Company Research Laboratory
Lines: 33
NNTP-Posting-Host: slee01.srl.ford.com
X-Newsreader: Tin 1.1 PL5

Volker Voecking (voecking@Informatik.TU-Muenchen.DE) wrote:
: 
: Hello
: 
: I have problems combining two IDE hard disks
: (Seagate ST3283A and Quantum LPS105A). As single hard disk both
: are working fine, but connecting them together to my 
: controller doesn't work.
: 
: My questions are:
: 
: - Has anybody out there ever been succesful using such hard disks
:   together and if so what jumper settings and BIOS settting did he/she
:   use?
: 
: - Is it possible that my controller is the reason for my troubles ?
:   The only thing I know about it is that it is an 
:   IDE-harddisk-controller. How many harddisks can such a controller
:   control? In my case only one ?
: 
: 
: Thanks in advance
: 
: 	Volker
: 
IDE drives have jumpers on them to indicate if it is a master or a slave.
If it is a master, then a second jumper indicates if a slave is present.
These must be set correctly according to each drive's manufacturers spec-
ification.  The CMOS setup is almost positively NOT the problem.  It is
probably not the controller - IDE controllers all support exactly two
drives maximum.  Check those jumpers.

Gordon Lang
",comp.sys.ibm.pc.hardware,1331,"volker voecking wrote: : : hello : : i have problems combining two ide hard disks : (seagate st3283a and quantum lps105a). as single hard disk both : are working fine, but connecting them together to my : controller doesn't work. : : my questions are: : : - has anybody out there ever been succesful using such hard disks : together and if so what jumper settings and bios settting did he/she : use? : : - is it possible that my controller is the reason for my troubles ? : the only thing i know about it is that it is an : ide-harddisk-controller. how many harddisks can such a controller : control? in my case only one ? : : : thanks in advance : : volker : ide drives have jumpers on them to indicate if it is a master or a slave. if it is a master, then a second jumper indicates if a slave is present. these must be set correctly according to each drive's manufacturers spec- ification. the cmos setup is almost positively not the problem. it is probably not the controller - ide controllers all support exactly two drives maximum. check those jumpers. gordon lang",1069,4,IDE hard disk configuration,seeking technical assistance,neutral,IDE hard disk configuration,seeking technical assistance,neutral
5795,"From: sunnyt@coding.bchs.uh.edu
Subject: Re: upgrading a Mac Plus or SE to use a superdrive
Organization: University of Houston
Lines: 25
Reply-To: ln63sdm@sdcc4.ucsd.edu
NNTP-Posting-Host: franklin.bchs.uh.edu

In article <Apr.22.15.59.38.1993.19720@andromeda.rutgers.edu>  
murray@andromeda.rutgers.edu (Murray Karstadt) writes:
> hello out in networld,
> 
>        We have a lab of old macs(SEs and Pluses). We don't have enough money 
> to buy all new machines, so we are considering buying a few superdrives for 
> our old macs to allow folks with high density disks to use our equipment. 
> I was wondering what experiences (good or bad) people have had with this sort
> of upgrade.
> 
> 
> murray
> 
> 
> murray@andromeda.rutgers.edu

Murry,

	Why don't you just shell out a couple more dollars and get a floptical.   
They can read high density disks (1.4 MB) as well as flopticals (21 MB).  The  
price of flopticals right now range from $300's - $400's.

Sunny


",comp.sys.mac.hardware,973,"in article (murray karstadt) writes: murry, why don't you just shell out a couple more dollars and get a floptical. they can read high density disks (1.4 mb) as well as flopticals (21 mb). the price of flopticals right now range from $300's - $400's. sunny",256,5,Upgrading old Macintosh computers,Provide advice on hardware upgrades for older Mac models,Neutral,Upgrading old Macintosh computers,Provide advice on hardware upgrades for older Mac models,Neutral
4897,"Subject: Re: Traffic morons
From: Stafford@Vax2.Winona.MSUS.Edu (John Stafford)
Distribution: world
Organization: Winona State University
Nntp-Posting-Host: stafford.winona.msus.edu
Lines: 28

In article <10326.97.uupcb@compdyn.questor.org>,
ryan_cousineau@compdyn.questor.org (Ryan Cousineau) wrote:
> 
> NMM>From: nielsmm@imv.aau.dk (Niels Mikkel Michelsen)
> NMM>Subject: How to act in front of traffic jerks
> 
> NMM>The other day, it was raining cats and dogs, therefor I was going only to
> NMM>the speed limit, on nothing more, on my bike. This guy in his BMW was
> NMM>driving 1-2 meters behind me for 7-800 meters and at the next red light I
> NMM>calmly put the bike on its leg, walked back to this car, he rolled down the
> NMM>window, and I told him he was a total idiot (and the reason why).
> 
> NMM>Did I do the right thing?

	imho, you did the wrong thing.  You could have been shot
 or he could have run over your bike or just beat the shit
 out of you.  Consider that the person is foolish enough
 to drive like a fool and may very well _act_ like one, too.

 Just get the heck away from the idiot.

 IF the driver does something clearly illegal, you _can_
 file a citizens arrest and drag that person into court.
 It's a hassle for you but a major hassle for the perp.

====================================================
John Stafford   Minnesota State University @ Winona
                    All standard disclaimers apply.
",rec.motorcycles,1446,"in article (ryan cousineau) wrote: imho, you did the wrong thing. you could have been shot or he could have run over your bike or just beat the shit out of you. consider that the person is foolish enough to drive like a fool and may very well _act_ like one, too. just get the heck away from the idiot. if the driver does something clearly illegal, you _can_ file a citizens arrest and drag that person into court. it's a hassle for you but a major hassle for the perp. ==================================================== john stafford minnesota state university @ winona all standard disclaimers apply.",604,6,Traffic behavior and confrontation,Discussing a personal experience and seeking validation,Negative,Traffic behavior and confrontation,Discussing a personal experience and seeking validation,Negative
3963,"From: mps1@cec1.wustl.edu (Mihir Pramod Shah)
Subject: Re: saturn -- puzzled by its pricing
Article-I.D.: wuecl.1993Apr6.074352.15514
Distribution: na
Organization: Washington University, St. Louis MO
Lines: 43
Nntp-Posting-Host: cec1

In article <1993Apr1.230642.5207@cbfsb.cb.att.com> ykhsu@cbnewsf.cb.att.com (yung-kao.hsu) writes:
>
>	I am the person who started out this subject.
>
>	To me, the question really is not about dealer profit but the
>	amount of money for the type of car. I've settled with a
>	new 92 Subaru Wagon with the similar amount of money a Saturn
>	dealer asked for a SW1. OK, I know it's a 92 model, but I think
>	I got a better car (though I have to adjust my initial idea of 
>	why I am getting a new car).
>
>	Today, during a conversion with a friend, I learned he rejected
>	a Saturn for a Ford Tarurs; as it only costed him a little bit more
>	than a SL2. I may be wrong, but a loaded Tarus beats a Saturn SL2.

	I agree that a fully-loaded SL2 would come close in price to a
LOWER-END Ford Taurus.  A FULLY-LOADED Taurus, on the other hand, would still
be substantially more expensive than even the most glitzy SL2.  A fully loaded
SL2 would run somewhere around $17,000, while a fully loaded Taurus LX would be
somewhere around the $22,000-$23,000 range.  A base Taurus (GL I believe) might
start around $15,000.  Of course there is the Taurus SHO which can push $30,000
if you really try, but this is a totally different car than your mainstream
Taurus sedan.  Your statement was not entirely faulty, just a little
inaccurate.

>
>	I can't see Saturn is of better value and that is why I was puzzled
>	by its pricings. Oh, we did not spend much time getting our deals;
>	being better informed has its advantages.

Well, that's ok.  At least you're not bitching about dealer profits like some
of the other netters are.  You seem to have rationally picked out the car that
is best for you.  The Loyale is an aging design that is about to be replaced by
the Impreza wagon, so you probably got a good deal on one of the last ones.

>	
>	Then again, I may be wrong.
>
>Yung-Kao Hsu
>

Mihir Shah
mps1@cec1.wustl.edu
",rec.autos,2147,"article-i.d.: wuecl.1993apr6.074352.15514 distribution: na organization: washington university, st. louis mo lines: 43 nntp-posting-host: cec1 in article (yung-kao.hsu) writes: i agree that a fully-loaded sl2 would come close in price to a lower-end ford taurus. a fully-loaded taurus, on the other hand, would still be substantially more expensive than even the most glitzy sl2. a fully loaded sl2 would run somewhere around $17,000, while a fully loaded taurus lx would be somewhere around the $22,000-$23,000 range. a base taurus (gl i believe) might start around $15,000. of course there is the taurus sho which can push $30,000 if you really try, but this is a totally different car than your mainstream taurus sedan. your statement was not entirely faulty, just a little inaccurate. well, that's ok. at least you're not bitching about dealer profits like some of the other netters are. you seem to have rationally picked out the car that is best for you. the loyale is an aging design that is about to be replaced by the impreza wagon, so you probably got a good deal on one of the last ones. mihir shah",1109,7,Car Pricing Comparison,Discuss the value and pricing of Saturn cars compared to other brands,Neutral,Car Pricing Comparison,Discuss the value and pricing of Saturn cars compared to other brands,Neutral
8186,"From: ls116@cunixa.cc.columbia.edu (Lei  Shao)
Subject: Re: TrueType fonts that display but do not print.
Nntp-Posting-Host: cunixa.cc.columbia.edu
Reply-To: ls116@cunixa.cc.columbia.edu (Lei  Shao)
Organization: Columbia University
Distribution: na
Lines: 31

In article <1993Apr17.134725.15882@mintaka.lcs.mit.edu> avinash@silver.lcs.mit.edu (Avinash Chopde) writes:
>I just installed a new TrueType font under MS-Windows 3.1
>but though all the applications display the font correctly on the
>screen, quite a few of them fail to print out the document correctly
>(on a LaserJet 4 - non-PostScript printer).
>
>When I use the font in CorelDRAW, the document prints correctly, so I assume
>CorelDRAW knows that the font has to be downloaded to the printer.
>
>But when I use the Windows accessory Write, the printer prints square
>boxes in place of the characters of the new font. Yet, Write does
>display the font correctly on the screen.
>
>I looked through all the Windows and LaserJet manuals, but got nowhere.
>All of them just make the statement that TrueType fonts will print
>exactly as you see them on the screen---so I assume Windows knows that a font
>has to be downloaded automatically---but, how to make it do that????
>
>Appreciate any help....

	I assume you're using the driver available from cica (hp4-v108.zip).
Bring up the setup screen of the printer through control panel. Click on the
""Options"" button brings up another screen of choices. Change the ""Graphics
Mode"" from ""HP-GL/2"" to ""Raster"" and check the box ""Print Truetype as graphics
(this is only available when you choose ""Raster""). Now you should be able to
print all your truetype fonts correctly. Good luck.


Lei Shao
ls116@cunixa.cc.columbia.edu

",comp.os.ms-windows.misc,1732,"in article (avinash chopde) writes: i assume you're using the driver available from cica (hp4-v108.zip). bring up the setup screen of the printer through control panel. click on the ""options"" button brings up another screen of choices. change the ""graphics mode"" from ""hp-gl/2"" to ""raster"" and check the box ""print truetype as graphics (this is only available when you choose ""raster""). now you should be able to print all your truetype fonts correctly. good luck. lei shao",473,8,TrueType fonts printing issues,seeking help for font printing problems,frustration,TrueType fonts printing issues,seeking help for font printing problems,frustration
18704,"From: farenebt@logic.camp.clarkson.edu (Droopy)
Subject: Re: Playoff predictions
Organization: Clarkson University
Lines: 39
Nntp-Posting-Host: logic.clarkson.edu
X-Newsreader: TIN [version 1.1 PL8]

PATRICK
1st rd:	Pens over Isles in 4.
	Devils over Caps in 6.
2nd:	Pens over Devils in 7.

ADAMS
1st rd: B's over Sabres in 5.
	Nords over Habs in 5.
2nd:	B's over Nords in 6.

NORRIS
1st:	Hawks over Stars/Blues in 5.
	Wings over Leafs in 7.
2nd:	Hawks over Wings in 5.

SMYTHE
1st:	Jets over Canucks in 7.	(call it a hunch)
	Flames over Kings in 5.
2nd:	Jets over Flames in 6.

WALES
Pens over B's in 7.	

CAMPBELL
Hawks over Jets in 5.

STANLEY
Pens over Hawks in 5.

    ++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
    + Bri Farenell			farenebt@craft.camp.clarkson.edu   +
    + AHL and ECAC contact for rec.sport.hockey		Go USA Hockey!	   +	
    + Adirondack Red Wings, Calder Cup Champs: '81  '86  '89  '92	   +
    + Clarkson Hockey, ECAC Tournament Champs: '66  '91  '93		   +
    + Glens Falls High Hockey, NY Division II State Champs: '90  '91       +
    + AHL fans: join the AHL mailing list: ahl-news-request@andrew.cmu.edu +
    + CONGRATS TO THE BOSTON BRUINS, 1992-93 ADAMS DIVISION CHAMPIONS      +
    + PHOENIX SUNS, 1992-93 PACIFIC DIVISION CHAMPIONS			   +
    ++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
",rec.sport.hockey,1383,"patrick 1st rd: pens over isles in 4. devils over caps in 6. 2nd: pens over devils in 7. adams 1st rd: b's over sabres in 5. nords over habs in 5. 2nd: b's over nords in 6. norris 1st: hawks over stars/blues in 5. wings over leafs in 7. 2nd: hawks over wings in 5. smythe 1st: jets over canucks in 7. (call it a hunch) flames over kings in 5. 2nd: jets over flames in 6. wales pens over b's in 7. campbell hawks over jets in 5. stanley pens over hawks in 5. ++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++ + bri farenell + + ahl and ecac contact for rec.sport.hockey go usa hockey! + + adirondack red wings, calder cup champs: '81 '86 '89 '92 + + clarkson hockey, ecac tournament champs: '66 '91 '93 + + glens falls high hockey, ny division ii state champs: '90 '91 + + ahl fans: join the ahl mailing list: + + congrats to the boston bruins, 1992-93 adams division champions + + phoenix suns, 1992-93 pacific division champions + ++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++",1027,9,Hockey Playoff Predictions,To share predictions for the NHL playoffs,Neutral,Hockey Playoff Predictions,To share predictions for the NHL playoffs,Neutral
